Aa en Hunze	  189,58	 2 028	  318,10	 2 025	  253,840
Aalsmeer	  227,33	 3 661	  416,54	 3 608	  321,935
Aalten	  636,37	 2 784	  601,14	 2 682	  618,755
Achtkarspelen	 1 703,71	 3 076	 1 653,11	 3 028	 1 678,410
Alblasserdam	  868,49	 2 433	  752,44	 2 430	  810,465
Albrandswaard	  357,17	 2 948	  381,28	 2 891	  369,225
Alkmaar	 4 754,30	 10 454	 4 845,59	 10 207	 4 799,945
Almelo	 7 411,07	 7 056	 6 995,60	 6 920	 7 203,335
Almere	 20 914,33	 23 521	 20 947,22	 23 532	 20 930,775
Alphen aan den Rijn	 4 452,67	 11 646	 4 593,65	 11 590	 4 523,160
Alphen-Chaam	  28,52	  839	  65,18	  876	  46,850
Altena	 1 208,24	 6 088	 1 290,55	 6 105	 1 249,395
Ameland	  67,44	  401	  49,29	  381	  58,365
Amersfoort	 7 921,06	 18 100	 7 819,64	 17 806	 7 870,350
Amstelveen	 1 108,45	 8 566	 1 190,80	 8 642	 1 149,625
Amsterdam	 92 553,96	 75 404	 92 122,03	 75 670	 92 337,995
Apeldoorn	 6 389,68	 15 306	 6 442,72	 15 205	 6 416,200
Appingedam	  671,45	 1 073	  691,91	 1 070	  681,680
Arnhem	 12 549,73	 15 331	 12 653,94	 15 182	 12 601,835
Assen	 2 568,46	 7 241	 3 052,85	 7 079	 2 810,655
Asten	  316,37	 1 531	  291,74	 1 475	  304,055
Baarle-Nassau	  186,82	  497	  127,44	  521	  157,130
Baarn	  617,20	 2 416	  558,05	 2 428	  587,625
Barendrecht	 1 525,13	 5 841	 1 421,92	 5 736	 1 473,525
Barneveld	 2 578,13	 7 675	 2 560,79	 7 749	 2 569,460
Beek	  185,47	 1 107	  269,85	 1 106	  227,660
Beekdaelen	 1 003,98	 2 946	  822,32	 2 878	  913,150
Beemster	  0,00	  954	  0,00	 1 006	  0,000
Beesel	  554,30	 1 164	  561,61	 1 121	  557,955
Berg en Dal	  756,30	 2 708	  830,90	 2 675	  793,600
Bergeijk	  228,03	 1 619	  246,02	 1 611	  237,025
Bergen (L.)	  518,87	 1 081	  617,51	 1 051	  568,190
Bergen (NH.)	  91,75	 2 263	  91,80	 2 193	  91,775
Bergen op Zoom	 5 546,92	 6 069	 5 433,80	 6 083	 5 490,360
Berkelland	  577,85	 3 891	  764,33	 3 724	  671,090
Bernheze	  425,78	 2 980	  500,57	 2 886	  463,175
Best	  532,17	 2 753	  659,34	 2 700	  595,755
Beuningen	  526,37	 2 237	  585,31	 2 206	  555,840
Beverwijk	 3 174,25	 3 990	 3 225,63	 3 909	 3 199,940
Bladel	  393,50	 1 920	  397,47	 1 887	  395,485
Blaricum	  82,74	 1 175	  54,77	 1 265	  68,755
Bloemendaal	  0,00	 3 830	  0,00	 3 764	  0,000
Bodegraven-Reeuwijk	  761,59	 3 666	  775,12	 3 676	  768,355
Boekel	  289,31	 1 074	  213,37	 1 043	  251,340
Borger-Odoorn	  729,67	 2 096	  740,87	 2 054	  735,270
Borne	  259,27	 2 411	  238,28	 2 430	  248,775
Borsele	  406,75	 2 314	  482,18	 2 339	  444,465
Boxmeer	  780,10	 2 462	  733,01	 2 370	  756,555
Boxtel	  941,07	 2 957	 1 022,45	 2 901	  981,760
Breda	 8 554,04	 18 208	 8 208,90	 17 993	 8 381,470
Brielle	  197,85	 1 481	  270,72	 1 512	  234,285
Bronckhorst	  312,42	 3 017	  247,89	 2 871	  280,155
Brummen	  703,28	 1 690	  768,04	 1 653	  735,660
Brunssum	 1 887,13	 2 318	 1 795,90	 2 291	 1 841,515
Bunnik	  0,00	 1 644	  0,00	 1 686	  0,000
Bunschoten	  868,11	 2 480	  928,18	 2 517	  898,145
Buren	  928,28	 2 341	 1 013,58	 2 321	  970,930
Capelle aan den IJssel	 4 911,92	 6 469	 5 234,45	 6 448	 5 073,185
